Recep,Ligand,Criterion,string_score
PTGER4,PTGIS,Ligand Producing,480
PTGFR,CBR1,Ligand Producing,276
PTGFR,PTGDS,Ligand Producing,583
PTGFR,AKR1C3,Ligand Producing,529
PTGFR,HPGD,Ligand Producing,455
PTGFR,PTGES2,Ligand Producing,509
PTGFR,AKR1B1,Ligand Producing,242
PTGIR,PTGIS,Ligand Producing,725
TBXA2R,HPGD,Ligand Producing,258
TBXA2R,PTGES2,Ligand Producing,173
AGTR1,ACE2,Ligand Producing,868
AGTR2,ACE2,Ligand Producing,879
TAAR1,AOC2,Ligand Producing,309
GPBAR1,SLC27A5,Ligand Producing,263
HTR1A,TPH2,Rate-limiting/bottleneck,814
HTR1B,TPH2,Rate-limiting/bottleneck,662
HTR1D,TPH2,Rate-limiting/bottleneck,516
HTR1F,TPH2,Rate-limiting/bottleneck,262
HTR2A,TPH2,Rate-limiting/bottleneck,660
HTR2B,TPH2,Rate-limiting/bottleneck,394
HTR2C,TPH2,Rate-limiting/bottleneck,666
HTR5A,TPH2,Rate-limiting/bottleneck,225
HTR7,TPH2,Rate-limiting/bottleneck,511
GPR55,PTGS2,Rate-limiting/bottleneck,415
CNR1,PTGS2,Rate-limiting/bottleneck,658
CNR2,PTGS2,Rate-limiting/bottleneck,353
DRD1,TPH2,Rate-limiting/bottleneck,428
DRD1,TH,Rate-limiting/bottleneck,777
DRD2,TH,Rate-limiting/bottleneck,858
DRD3,TH,Rate-limiting/bottleneck,569
DRD5,TPH2,Rate-limiting/bottleneck,396
DRD5,TH,Rate-limiting/bottleneck,651
FFAR1,LPL,Rate-limiting/bottleneck,243
FFAR4,LPL,Rate-limiting/bottleneck,276
ADRA1A,TH,Rate-limiting/bottleneck,304
ADRA1B,TH,Rate-limiting/bottleneck,366
ADRA1D,TH,Rate-limiting/bottleneck,277
ADRA2A,TH,Rate-limiting/bottleneck,363
ADRA2B,TH,Rate-limiting/bottleneck,197
ADRA2C,TH,Rate-limiting/bottleneck,266
ADRB1,TH,Rate-limiting/bottleneck,404
ADRB2,TH,Rate-limiting/bottleneck,459
ADRB3,TH,Rate-limiting/bottleneck,459
P2RY1,PTGS2,Rate-limiting/bottleneck,193
P2RY12,PTGS2,Rate-limiting/bottleneck,260
P2RY2,PTGS2,Rate-limiting/bottleneck,215
PTGDR,PTGS2,Rate-limiting/bottleneck,295
PTGDR2,PTGS2,Rate-limiting/bottleneck,231
PTGER1,PTGS2,Rate-limiting/bottleneck,868
PTGER2,PTGS2,Rate-limiting/bottleneck,678
PTGER3,PTGS2,Rate-limiting/bottleneck,714
PTGER4,PTGS2,Rate-limiting/bottleneck,824
PTGFR,PTGS2,Rate-limiting/bottleneck,536
PTGIR,PTGS2,Rate-limiting/bottleneck,488
TBXA2R,PTGS2,Rate-limiting/bottleneck,426
HTR4,TPH2,Rate-limiting/bottleneck,155
HTR6,TPH2,Rate-limiting/bottleneck,218
GPR35,IDO1,Rate-limiting/bottleneck,438
FFAR1,SCD,Rate-limiting/bottleneck,150
FFAR3,PTGS2,Rate-limiting/bottleneck,263
FFAR4,SCD,Rate-limiting/bottleneck,305
LTB4R2,PTGS2,Rate-limiting/bottleneck,252
HCAR2,PTGS2,Rate-limiting/bottleneck,296
